日期,广告形式,产品,展现量,点击量,点击率,总加购数,转化率,ROI,总订单行,总订单金额,总费用,是否为钻展广告,是否为超级推荐广告,是否为直通车广告,是否为品销宝广告,点击率/转化率,销售额/ROI,点击量/展现量,加购数/点击量,订单数/加购数
2020-12-03,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-04,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-05,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-06,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-07,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-08,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-09,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-10,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-11,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-12,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-13,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-14,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-15,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-16,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-17,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-18,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-19,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-20,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-21,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-22,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-23,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-24,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
2020-12-25,超级推荐,nan,0,0,nan,0,nan,nan,0,0.0,0.0,0,1,0,0,nan,nan,0.0,0.0,0.0
